,mean_rewards,std_rewards,values_q_net,values_target_net
115,-0.8628506,1.0010163,0,0
116,-1.3408267,1.245514,0,0
117,-0.6634031,1.1068856,0,0
118,-0.50661796,1.0275916,0,0
119,-1.1322498,1.3481641,0,0
120,-1.4818375,1.19195,0,0
121,-1.8565714,1.5494913,0,0
122,-0.29397342,0.744325,0,0
123,-2.7763722,2.5875974,0,0
124,-1.9865977,1.6288617,0,0
125,-1.6814336,1.4714518,0,0
126,-0.1772856,0.8550134,0,0
127,-4.8389416,3.214852,0,0
128,0.19061688,0.8390447,0,0
129,-1.3457528,1.4533387,0,0
130,-1.1361021,1.2002404,0,0
131,-1.3059882,1.5371804,0,0
132,-0.99570394,1.2867321,0,0
133,-0.9897145,1.410031,0,0
134,-1.5553895,1.3210763,0,0
135,-0.21636632,1.1294196,0,0
136,-6.8749657,3.940176,0,0
137,-1.096377,1.3695068,0,0
138,-2.2301018,1.6622301,0,0
139,-0.7525735,1.1176264,0,0
140,-3.741111,2.725993,0,0
141,-1.2007332,1.2922148,0,0
142,-1.2700561,1.6598616,0,0
143,-0.5294586,0.9242249,0,0
144,-0.7221924,0.9355303,0,0
145,0.09364951,0.5641153,0,0
146,-0.74972767,1.2193499,0,0
147,-3.1039882,2.5982432,0,0
148,-1.5156834,1.6975956,0,0
149,-0.6198595,0.8797118,0,0
150,-1.1813631,1.6328044,0,0
151,-1.3633571,1.4846047,0,0
152,-1.9051193,1.2111107,0,0
153,-1.2951471,1.407119,0,0
154,-2.2379973,0.95964795,0,0
155,-1.6706579,1.6811645,0,0
156,-0.7501911,1.0589669,0,0
157,-1.7853756,2.1912193,0,0
158,-0.5361532,0.48135343,0,0
159,-0.54122514,1.15223,0,0
160,0.027137056,0.7440165,0,0
161,-0.29410607,0.96691203,0,0
162,-0.55902004,1.131518,0,0
163,-2.9187434,2.2031875,0,0
164,-0.77800596,2.4614937,0,0
165,-0.9404489,0.98547536,0,0
166,0.63669145,1.05412,0,0
167,-1.0090797,0.96985334,0,0
168,-0.9736041,1.3470595,0,0
169,-0.7559028,1.3584387,0,0
170,-0.26353028,0.81185883,0,0
171,-0.6367382,1.0674558,0,0
172,-1.6546413,1.2092842,0,0
173,0.34928703,0.39579046,0,0
174,-2.631216,2.4227407,0,0
175,0.24184287,0.5805441,0,0
176,-0.40894935,0.8177303,0,0
177,0.30913633,0.46948355,0,0
178,0.13462588,0.56431925,0,0
179,-0.79947966,1.2888385,0,0
180,-0.43335852,1.0548072,0,0
181,-0.13492337,1.080675,0,0
182,-1.0317041,1.574567,0,0
183,-1.7330236,1.6975594,0,0
184,-0.4278154,0.9274192,0,0
185,-0.15080138,0.50156325,0,0
186,0.38138202,0.85269976,0,0
187,-0.030199485,0.6141683,0,0
188,-6.70862,3.2334504,0,0
189,-0.47551262,0.77234286,0,0
190,-1.1662903,1.0687028,0,0
191,-4.3281336,2.3371623,0,0
192,-0.5310816,0.7237159,0,0
193,-0.9864618,1.117156,0,0
194,-5.231086,3.301124,0,0
195,-1.1991975,2.234074,0,0
196,-4.8858542,3.0988138,0,0
197,-0.5526404,1.292,0,0
198,-0.13170154,0.95199484,0,0
199,-1.0560113,1.0589889,0,0
200,-4.271973,5.225915,0,0
201,-0.39469576,0.92341053,0,0
202,-0.38148856,0.8368652,0,0
203,-0.13837227,0.8204137,0,0
204,-0.19772173,0.72529846,0,0
205,-0.99200845,2.1966565,0,0
206,-1.1690996,1.0183766,0,0
207,-0.040115062,0.6848793,0,0
208,-2.684262,1.4643542,0,0
209,-0.024578722,0.56273466,0,0
210,-0.8748785,1.648744,0,0
211,-0.43003085,0.67906624,0,0
212,0.26750588,0.6766297,0,0
213,-0.14172284,0.77699965,0,0
214,-0.45755997,1.086015,0,0
215,-1.6554705,2.0280898,0,0
216,0.08283973,1.0527898,0,0
217,-0.6827917,0.895397,0,0
218,-1.2191464,1.1315358,0,0
219,-0.6209056,1.3635733,0,0
220,-0.80610716,1.1781032,0,0
221,-0.9871507,1.5765265,0,0
222,-3.0231302,1.5952371,0,0
223,-0.5353976,0.5804938,0,0
224,-1.09214,1.3142194,0,0
225,-0.36206424,1.1280693,0,0
226,-2.1842315,1.5317935,0,0
227,-1.8905791,1.7954588,0,0
228,0.1485331,0.41005847,0,0
229,0.32284397,0.47870186,0,0
230,-1.2420686,1.0517323,0,0
231,-0.5199016,0.7992575,0,0
232,0.26980418,0.8016893,0,0
233,-0.0115814805,1.4113536,0,0
234,0.27865764,0.5683027,0,0
235,-0.77827847,1.5038121,0,0
236,0.72507066,0.55479175,0,0
237,0.3348444,0.59682184,0,0
238,0.40382147,0.6937507,0,0
239,0.07659089,0.89095104,0,0
240,-0.050209045,0.574395,0,0
241,0.0028297985,0.7323,0,0
242,-0.036290746,0.5139531,0,0
243,-0.5737621,0.7689423,0,0
244,0.45669162,0.9260327,0,0
245,0.19832309,0.63860613,0,0
246,0.116833344,0.5576837,0,0
247,0.42473042,0.5782752,0,0
248,-0.65645653,1.1776954,0,0
249,-0.44662517,0.7090619,0,0
250,0.3405312,0.8190578,0,0
251,0.23726076,0.597339,0,0
252,-0.15675545,0.559807,0,0
253,-0.20959473,0.71415377,0,0
254,-0.13429381,0.63072675,0,0
255,-0.10093608,0.56670177,0,0
256,0.32359597,0.6372717,0,0
257,0.17396273,0.8700183,0,0
258,-0.9348918,1.171333,0,0
259,-0.47181743,0.94398063,0,0
260,-0.7500363,1.0424144,0,0
261,-0.2819692,1.2002949,0,0
262,-0.39165542,0.6371622,0,0
263,0.2932623,0.7876584,0,0
264,-0.42173985,0.8602198,0,0
265,0.12765193,0.8719296,0,0
266,-0.649465,0.79038054,0,0
267,-0.25176722,0.5262285,0,0
268,-0.9793789,1.1218338,0,0
269,-0.34280115,0.5776482,0,0
270,-0.84936297,1.4175217,0,0
271,-0.43104097,1.7947065,0,0
272,-0.5462437,1.6104288,0,0
273,-0.11722733,1.091792,0,0
274,0.037118606,0.51255566,0,0
275,-0.5787237,0.7078959,0,0
276,0.260516,0.76535106,0,0
277,-0.10464141,0.93401414,0,0
278,0.13460246,0.9075368,0,0
279,-0.01929019,0.49256322,0,0
280,-0.09580403,0.6948812,0,0
281,0.0069545,0.565256,0,0
282,0.31819895,0.5830391,0,0
283,-0.55645216,0.94732314,0,0
284,0.15628201,0.39644292,0,0
285,-0.7472611,1.0144577,0,0
286,0.4645748,0.49132088,0,0
287,-0.5984072,0.94188064,0,0
288,-0.46140403,0.7343132,0,0
289,-1.5013463,1.3741614,0,0
290,-0.055401262,0.5183751,0,0
291,0.031028274,0.55106074,0,0
292,0.023148904,0.6866746,0,0
293,-0.46692914,0.7802267,0,0
294,0.010336983,0.8284074,0,0
295,0.05920882,0.64419705,0,0
296,-0.1499571,0.40463254,0,0
297,-0.72109073,0.8780822,0,0
298,-1.0767026,1.4389951,0,0
299,-0.11324481,0.70253706,0,0
300,0.14127283,0.53427446,0,0
301,0.69131774,0.8581506,0,0
302,-0.9840278,0.8278482,0,0
303,-0.25711146,0.47278047,0,0
304,-0.06941964,0.546441,0,0
305,0.25698683,0.5255648,0,0
306,-0.73485994,1.2752469,0,0
307,-0.8617406,1.076805,0,0
308,0.068532355,0.41507,0,0
309,0.21816173,0.98373884,0,0
310,-0.67249024,1.7479134,0,0
311,-0.9564748,0.9824245,0,0
312,-0.048633363,0.5823498,0,0
313,0.2663032,0.74092877,0,0
314,-0.9597533,0.7270994,0,0
315,-2.650442,1.503223,0,0
316,-1.1737837,0.8883337,0,0
317,0.27381733,0.6616623,0,0
318,0.5265588,0.31554145,0,0
319,-0.4380772,0.8155933,0,0
320,0.35808733,0.58231497,0,0
